,EUR
2013-06-25,1519.21
2013-06-26,1515.87
2013-06-27,1501.03
2013-06-28,1498.23
2013-07-01,1490.26
2013-07-02,1485.93
2013-07-03,1470.11
2013-07-04,1483.86
2013-07-05,1471.2
2013-07-08,1464.17
2013-07-09,1481.45
2013-07-10,1463.1
2013-07-11,1496.44
2013-07-12,1473.28
2013-07-15,1465.78
2013-07-16,1466.23
2013-07-17,1471.26
2013-07-18,1466.78
2013-07-19,1471.34
2013-07-22,1476.9
2013-07-23,1474.69
2013-07-24,1476.29
2013-07-25,1470.11
2013-07-26,1483.77
2013-07-29,1477.28
2013-07-30,1471.12
2013-07-31,1476.74
2013-08-01,1488.84
2013-08-02,1481.37
2013-08-05,1494.08
2013-08-06,1479.99
2013-08-07,1482.89
2013-08-08,1490.09
2013-08-09,1490.16
2013-08-12,1482.92
2013-08-13,1479.29
2013-08-14,1480.93
2013-08-16,1494.25
2013-08-19,1485.63
2013-08-20,1485.29
2013-08-21,1505.7
2013-08-22,1492.66
2013-08-23,1502.74
2013-08-26,1496.1
2013-08-27,1488.64
2013-08-28,1494.39
2013-08-29,1490.19
2013-08-30,1470.61
2013-09-02,1465.12
2013-09-03,1455.98
2013-09-04,1443.3
2013-09-05,1451.74
2013-09-06,1435.07
2013-09-09,1442.97
2013-09-10,1442.19
2013-09-11,1439.12
2013-09-12,1446.71
2013-09-13,1440.39
2013-09-16,1451.05
2013-09-17,1443.28
2013-09-23,1468.49
2013-09-24,1452.03
2013-09-25,1448.21
2013-09-26,1455.94
2013-09-27,1449.04
2013-09-30,1451.31
2013-10-01,1453.67
2013-10-02,1452.99
2013-10-04,1464.52
2013-10-07,1454.05
2013-10-08,1453.42
2013-10-10,1451.19
2013-10-11,1455.1
2013-10-14,1451.22
2013-10-15,1453.72
2013-10-16,1444.66
2013-10-17,1443.15
2013-10-18,1454.93
2013-10-21,1452.58
2013-10-22,1452.02
2013-10-23,1463.02
2013-10-24,1455.54
2013-10-25,1458.62
2013-10-28,1466.98
2013-10-29,1463.35
2013-10-30,1458.47
2013-10-31,1456.61
2013-11-01,1440.19
2013-11-04,1433.61
2013-11-05,1435.16
2013-11-06,1430.94
2013-11-07,1435.19
2013-11-08,1423.14
2013-11-11,1419.56
2013-11-12,1432.38
2013-11-13,1438.54
2013-11-14,1446.48
2013-11-15,1436.16
2013-11-18,1438.6
2013-11-19,1432.37
2013-11-20,1429.45
2013-11-21,1419.24
2013-11-22,1431.18
2013-11-25,1438.79
2013-11-26,1434.25
2013-11-27,1438.72
2013-11-28,1440.17
2013-11-29,1444.83
2013-12-02,1438.41
2013-12-03,1432.23
2013-12-04,1442.31
2013-12-05,1442.17
2013-12-06,1450.19
2013-12-09,1450.95
2013-12-10,1446.54
2013-12-11,1448.45
2013-12-12,1450.25
2013-12-13,1448.35
2013-12-16,1446.85
2013-12-17,1448.48
2013-12-18,1447.92
2013-12-19,1438.22
2013-12-20,1444.84
2013-12-23,1452.25
2013-12-24,1453.09
2013-12-26,1450.57
2013-12-27,1450.58
2013-12-30,1451.56
2013-12-31,1456.26
2014-01-02,1452.99
2014-01-03,1435.48
2014-01-06,1432.89
2014-01-07,1447.67
2014-01-08,1453.95
2014-01-09,1447.41
2014-01-10,1448.66
2014-01-13,1452.32
2014-01-14,1444.13
2014-01-15,1447.52
2014-01-16,1445.53
2014-01-17,1449.28
2014-01-20,1435.43
2014-01-21,1442.22
2014-01-22,1442.84
2014-01-23,1447.25
2014-01-24,1468.07
2014-01-27,1474.09
2014-01-28,1482.29
2014-01-29,1473.59
2014-02-03,1445.07
2014-02-04,1463.78
2014-02-05,1467.59
2014-02-06,1460.67
2014-02-07,1462.83
2014-02-10,1464.72
2014-02-11,1462.5
2014-02-12,1461.89
2014-02-13,1447.35
2014-02-14,1455.31
2014-02-17,1455.07
2014-02-18,1453.63
2014-02-19,1464.31
2014-02-20,1465.56
2014-02-21,1470.65
2014-02-24,1474.49
2014-02-25,1477.98
2014-02-26,1471.65
2014-02-27,1463.89
2014-02-28,1463.6
2014-03-03,1468.8
2014-03-04,1472.36
2014-03-05,1472.77
2014-03-06,1470.31
2014-03-07,1479.9
2014-03-10,1474.73
2014-03-11,1479.26
2014-03-12,1475.28
2014-03-13,1486.67
2014-03-14,1480.27
2014-03-17,1490.99
2014-03-18,1489.89
2014-03-19,1487.85
2014-03-20,1480.03
2014-03-21,1481.76
2014-03-24,1490.06
2014-03-25,1493.87
2014-03-26,1490.83
2014-03-27,1481.51
2014-03-28,1473.97
2014-03-31,1469.39
2014-04-01,1468.45
2014-04-02,1463.07
2014-04-03,1455.07
2014-04-04,1451.66
2014-04-07,1446.86
2014-04-08,1447.74
2014-04-09,1453.23
2014-04-10,1445.46
2014-04-11,1438.54
2014-04-14,1436.42
2014-04-15,1435.71
2014-04-16,1438.47
2014-04-17,1438.97
2014-04-18,1432.55
2014-04-21,1432.79
2014-04-22,1431.58
2014-04-23,1435.48
2014-04-24,1436.59
2014-04-25,1436.49
2014-04-28,1437.84
2014-04-29,1436.64
2014-04-30,1425.04
2014-05-02,1431.56
2014-05-07,1436.05
2014-05-08,1426.81
2014-05-09,1416.68
2014-05-12,1407.7
2014-05-13,1410.09
2014-05-14,1401.88
2014-05-15,1405.44
2014-05-16,1407.84
2014-05-19,1405.04
2014-05-20,1402.02
2014-05-21,1403.02
2014-05-22,1405.24
2014-05-23,1399.91
2014-05-26,1395.92
2014-05-27,1397.11
2014-05-28,1395.61
2014-05-29,1390.17
2014-05-30,1389.63
2014-06-02,1390.3
2014-06-03,1391.89
2014-06-05,1393.25
2014-06-09,1395.29
2014-06-10,1382.95
2014-06-11,1376.95
2014-06-12,1375.58
2014-06-13,1378.76
2014-06-16,1377.81
2014-06-17,1383.87
2014-06-18,1384.64
2014-06-19,1390.19
2014-06-20,1385.91
2014-06-23,1386.1
2014-06-24,1385.33
2014-06-25,1384.99
2014-06-26,1391.08
2014-06-27,1384.44
2014-06-30,1384.15
2014-07-01,1385.67
2014-07-02,1384.24
2014-07-03,1379.08
2014-07-04,1374.07
2014-07-07,1370.89
2014-07-08,1374.22
2014-07-09,1376.55
2014-07-10,1380.74
2014-07-11,1376.79
2014-07-14,1384.99
2014-07-15,1387.3
2014-07-16,1388.96
2014-07-17,1396.83
2014-07-18,1392.12
2014-07-21,1396.26
2014-07-22,1389.75
2014-07-23,1379.83
2014-07-24,1376.38
2014-07-25,1384.1
2014-07-28,1382.79
2014-07-29,1377.66
2014-07-30,1374.12
2014-07-31,1371.84
2014-08-01,1373.98
2014-08-04,1387.85
2014-08-05,1384.75
2014-08-06,1378.28
2014-08-07,1384.2
2014-08-08,1382.01
2014-08-11,1390.84
2014-08-12,1379.46
2014-08-13,1374.73
2014-08-14,1373.75
2014-08-18,1372.24
2014-08-19,1359.65
2014-08-20,1356.03
2014-08-21,1353.61
2014-08-22,1359.84
2014-08-25,1345.43
2014-08-26,1345.87
2014-08-27,1340.5
2014-08-28,1338.56
2014-08-29,1336.23
2014-09-01,1332.97
2014-09-02,1331.88
2014-09-03,1333.89
2014-09-04,1340.01
