,BHD
2013-03-12,2913.26
2013-03-13,2904.51
2013-03-14,2911.14
2013-03-15,2931.03
2013-03-18,2944.03
2013-03-19,2957.03
2013-03-20,2944.91
2013-03-21,2964.27
2013-03-22,2960.74
2013-03-25,2963.47
2013-03-26,2951.01
2013-03-27,2938.73
2013-03-28,2942.18
2013-03-29,2949.87
2013-04-01,2950.93
2013-04-02,2958.89
2013-04-03,2951.72
2013-04-04,2972.41
2013-04-05,2980.82
2013-04-08,2989.66
2013-04-09,3019.36
2013-04-10,3020.87
2013-04-11,3019.36
2013-04-12,2994.62
2013-04-15,3000.27
2013-04-16,2983.29
2013-04-17,2969.76
2013-04-18,2958.36
2013-04-19,2976.13
2013-04-22,2966.84
2013-04-23,2975.33
2013-04-24,2971.35
2013-04-25,2968.7
2013-04-26,2954.64
2013-04-29,2942.1
2013-04-30,2939.26
2013-05-02,2923.61
2013-05-03,2916.98
2013-05-06,2917.51
2013-05-07,2901.86
2013-05-08,2901.78
2013-05-09,2885.15
2013-05-10,2883.29
2013-05-13,2924.67
2013-05-14,2956.5
2013-05-15,2942.71
2013-05-16,2953.85
2013-05-20,2955.7
2013-05-21,2965.78
2013-05-22,2951.99
2013-05-23,2950.66
2013-05-24,2980.64
2013-05-27,2992.04
2013-05-28,2984.35
2013-05-29,2985.41
2013-05-30,3000.0
2013-05-31,2992.84
2013-06-03,2988.33
2013-06-04,2992.31
2013-06-05,2975.6
2013-06-07,2968.7
2013-06-10,2948.01
2013-06-11,2980.37
2013-06-12,3007.16
2013-06-13,3000.53
2013-06-14,3010.08
2013-06-17,2992.49
2013-06-18,2991.88
2013-06-19,2997.08
2013-06-20,3005.31
2013-06-21,3036.07
2013-06-24,3065.25
2013-06-25,3069.23
2013-06-26,3074.54
2013-06-27,3059.42
2013-06-28,3049.6
2013-07-01,3037.85
2013-07-02,3015.57
2013-07-03,3004.96
2013-07-04,3025.46
2013-07-05,3024.4
2013-07-08,3028.3
2013-07-09,3054.11
2013-07-10,3036.34
2013-07-11,3020.45
2013-07-12,2983.82
2013-07-15,2976.69
2013-07-16,2977.56
2013-07-17,2967.93
2013-07-18,2965.78
2013-07-19,2976.69
2013-07-22,2980.11
2013-07-23,2966.61
2013-07-24,2961.3
2013-07-25,2955.09
2013-07-26,2963.58
2013-07-29,2948.81
2013-07-30,2942.55
2013-07-31,2953.69
2013-08-01,2969.76
2013-08-02,2974.3
2013-08-05,2984.91
2013-08-06,2961.01
2013-08-07,2955.2
2013-08-08,2963.66
2013-08-09,2953.85
2013-08-12,2949.07
2013-08-13,2952.25
2013-08-14,2961.54
2013-08-16,2969.5
2013-08-19,2957.56
2013-08-20,2954.03
2013-08-21,2975.78
2013-08-22,2965.78
2013-08-23,2982.23
2013-08-26,2966.05
2013-08-27,2952.25
2013-08-28,2959.45
2013-08-29,2962.86
2013-08-30,2946.45
2013-09-02,2943.0
2013-09-03,2928.41
2013-09-04,2906.74
2013-09-05,2917.09
2013-09-06,2901.17
2013-09-09,2905.42
2013-09-10,2886.32
2013-09-11,2877.72
2013-09-12,2883.55
2013-09-13,2873.06
2013-09-16,2878.55
2013-09-17,2870.56
2013-09-23,2878.51
2013-09-24,2853.85
2013-09-25,2851.04
2013-09-26,2856.08
2013-09-27,2849.87
2013-09-30,2852.9
2013-10-01,2851.91
2013-10-02,2850.06
2013-10-04,2850.4
2013-10-07,2842.44
2013-10-08,2839.52
2013-10-10,2847.75
2013-10-11,2853.32
2013-10-14,2839.52
2013-10-15,2844.3
2013-10-16,2832.63
2013-10-17,2830.5
2013-10-18,2823.34
2013-10-21,2815.31
2013-10-22,2816.98
2013-10-23,2816.18
2013-10-24,2802.39
2013-10-25,2804.24
2013-10-28,2817.77
2013-10-29,2815.38
2013-10-30,2813.98
2013-10-31,2815.38
2013-11-01,2811.41
2013-11-04,2818.57
2013-11-05,2817.24
2013-11-06,2816.98
2013-11-07,2816.98
2013-11-08,2813.53
2013-11-11,2820.95
2013-11-12,2834.22
2013-11-13,2840.58
2013-11-14,2845.89
2013-11-15,2831.03
2013-11-18,2829.44
2013-11-19,2813.53
2013-11-20,2800.53
2013-11-21,2801.78
2013-11-22,2816.71
2013-11-25,2815.84
2013-11-26,2813.26
2013-11-27,2812.47
2013-11-28,2813.91
2013-11-29,2817.24
2013-12-02,2808.75
2013-12-03,2805.57
2013-12-04,2815.12
2013-12-05,2814.85
2013-12-06,2813.53
2013-12-09,2806.9
2013-12-10,2793.37
2013-12-11,2791.78
2013-12-12,2790.19
2013-12-13,2794.43
2013-12-16,2793.15
2013-12-17,2792.04
2013-12-18,2789.12
2013-12-19,2790.72
2013-12-20,2806.63
2013-12-23,2816.71
2013-12-24,2814.17
2013-12-26,2812.73
2013-12-27,2810.08
2013-12-30,2800.0
2013-12-31,2799.2
2014-01-02,2799.2
2014-01-03,2786.21
2014-01-06,2796.02
2014-01-07,2817.51
2014-01-08,2832.63
2014-01-09,2827.59
2014-01-10,2824.4
2014-01-13,2819.1
2014-01-14,2802.39
2014-01-15,2807.28
2014-01-16,2818.15
2014-01-17,2822.81
2014-01-20,2814.32
2014-01-21,2822.02
2014-01-22,2822.81
2014-01-23,2833.95
2014-01-24,2843.24
2014-01-27,2857.22
2014-01-28,2875.44
2014-01-29,2862.45
2014-02-03,2840.96
2014-02-04,2870.48
2014-02-05,2880.75
2014-02-06,2863.24
2014-02-07,2855.02
2014-02-10,2851.72
2014-02-11,2843.09
2014-02-12,2843.35
2014-02-13,2824.06
2014-02-14,2821.94
2014-02-17,2816.64
2014-02-18,2812.92
2014-02-19,2822.47
2014-02-20,2830.5
2014-02-21,2843.24
2014-02-24,2846.34
2014-02-25,2854.76
2014-02-26,2839.64
2014-02-27,2837.78
2014-02-28,2831.95
2014-03-03,2827.97
2014-03-04,2843.09
2014-03-05,2843.5
2014-03-06,2839.79
2014-03-07,2831.3
2014-03-10,2818.57
2014-03-11,2827.32
2014-03-12,2824.18
2014-03-13,2836.07
2014-03-14,2831.3
2014-03-17,2843.28
2014-03-18,2837.93
2014-03-19,2832.63
2014-03-20,2840.05
2014-03-21,2852.25
2014-03-24,2865.52
2014-03-25,2863.77
2014-03-26,2859.95
2014-03-27,2851.46
2014-03-28,2845.62
2014-03-31,2834.86
2014-04-01,2827.7
2014-04-02,2812.85
2014-04-03,2803.56
2014-04-04,2806.48
2014-04-07,2801.25
2014-04-08,2794.09
2014-04-09,2794.62
2014-04-10,2767.04
2014-04-11,2747.79
2014-04-14,2751.99
2014-04-15,2755.7
2014-04-16,2761.58
2014-04-17,2761.92
2014-04-18,2750.93
2014-04-21,2750.97
2014-04-22,2752.98
2014-04-23,2757.49
2014-04-24,2757.22
2014-04-25,2754.04
2014-04-28,2756.07
2014-04-29,2750.71
2014-04-30,2736.39
2014-05-02,2737.71
2014-05-07,2735.06
2014-05-08,2720.21
2014-05-09,2714.71
2014-05-12,2713.38
2014-05-13,2718.69
2014-05-14,2713.12
2014-05-15,2717.7
2014-05-16,2722.67
2014-05-19,2720.95
2014-05-20,2712.73
2014-05-21,2716.45
2014-05-22,2723.34
2014-05-23,2719.22
2014-05-26,2716.83
2014-05-27,2715.92
2014-05-28,2714.59
2014-05-29,2712.32
2014-05-30,2709.67
2014-06-02,2706.49
2014-06-03,2714.98
2014-06-05,2716.83
2014-06-09,2712.47
2014-06-10,2698.53
2014-06-11,2696.14
2014-06-12,2696.14
2014-06-13,2698.8
2014-06-16,2700.27
2014-06-17,2704.03
2014-06-18,2711.0
2014-06-19,2713.65
2014-06-20,2700.92
2014-06-23,2704.37
2014-06-24,2701.11
2014-06-25,2699.98
2014-06-26,2706.87
2014-06-27,2697.33
2014-06-30,2690.43
2014-07-01,2684.33
2014-07-02,2683.75
2014-07-03,2678.44
2014-07-04,2677.98
2014-07-07,2676.13
2014-07-08,2678.78
2014-07-09,2682.23
2014-07-10,2684.88
2014-07-11,2684.08
2014-07-14,2700.12
2014-07-15,2701.59
2014-07-16,2715.31
2014-07-17,2739.18
2014-07-18,2730.96
2014-07-21,2737.14
2014-07-22,2725.39
2014-07-23,2717.63
2014-07-24,2712.85
2014-07-25,2726.72
2014-07-28,2730.43
2014-07-29,2719.29
2014-07-30,2717.97
2014-07-31,2716.9
2014-08-01,2721.94
2014-08-04,2741.76
2014-08-05,2736.53
2014-08-06,2734.07
2014-08-07,2743.36
2014-08-08,2743.62
2014-08-11,2751.65
2014-08-12,2733.54
2014-08-13,2727.44
2014-08-14,2726.91
2014-08-18,2718.42
2014-08-19,2699.25
2014-08-20,2700.05
2014-08-21,2707.74
2014-08-22,2715.77
2014-08-25,2704.03
2014-08-26,2707.02
2014-08-27,2700.12
2014-08-28,2691.1
2014-08-29,2688.45
2014-09-01,2691.9
2014-09-02,2690.38
2014-09-03,2693.83
2014-09-04,2702.58
