,CHF
2012-11-19,1151.48
2012-11-20,1154.07
2012-11-21,1151.09
2012-11-22,1155.23
2012-11-23,1159.03
2012-11-26,1170.46
2012-11-27,1170.46
2012-11-28,1164.38
2012-11-29,1167.91
2012-11-30,1169.05
2012-12-03,1167.93
2012-12-04,1170.66
2012-12-05,1169.36
2012-12-06,1168.63
2012-12-07,1160.76
2012-12-10,1156.75
2012-12-11,1156.29
2012-12-12,1155.84
2012-12-13,1160.6
2012-12-14,1160.81
2012-12-17,1171.23
2012-12-18,1169.05
2012-12-20,1171.94
2012-12-21,1177.36
2012-12-24,1173.76
2012-12-26,1173.3
2012-12-27,1175.29
2012-12-28,1173.99
2012-12-31,1173.1
2013-01-02,1169.9
2013-01-03,1160.18
2013-01-04,1147.57
2013-01-07,1150.88
2013-01-08,1154.8
2013-01-09,1150.34
2013-01-10,1147.35
2013-01-11,1160.77
2013-01-14,1155.53
2013-01-15,1144.89
2013-01-16,1132.22
2013-01-17,1137.5
2013-01-18,1134.25
2013-01-21,1129.88
2013-01-22,1136.85
2013-01-23,1145.5
2013-01-24,1145.96
2013-01-25,1150.05
2013-01-29,1168.63
2013-01-30,1180.49
2013-01-31,1188.54
2013-02-01,1196.46
2013-02-04,1203.5
2013-02-05,1198.22
2013-02-06,1196.72
2013-02-07,1196.35
2013-02-08,1185.89
2013-02-12,1188.01
2013-02-13,1192.78
2013-02-14,1184.09
2013-02-15,1177.17
2013-02-18,1169.52
2013-02-19,1172.41
2013-02-20,1172.0
2013-02-21,1162.36
2013-02-22,1164.45
2013-02-25,1166.92
2013-02-26,1166.49
2013-02-27,1167.44
2013-02-28,1167.47
2013-03-04,1148.57
2013-03-05,1159.95
2013-03-06,1154.97
2013-03-07,1142.62
2013-03-08,1152.25
2013-03-11,1144.55
2013-03-12,1158.73
2013-03-13,1155.73
2013-03-14,1152.11
2013-03-15,1166.84
2013-03-18,1175.24
2013-03-19,1177.19
2013-03-20,1171.22
2013-03-21,1181.98
2013-03-22,1179.35
2013-03-25,1187.06
2013-03-26,1173.21
2013-03-27,1168.79
2013-03-28,1162.81
2013-03-29,1171.0
2013-04-01,1170.93
2013-04-02,1178.3
2013-04-03,1173.28
2013-04-04,1185.57
2013-04-05,1195.09
2013-04-08,1207.33
2013-04-09,1217.43
2013-04-10,1221.47
2013-04-11,1220.24
2013-04-12,1213.33
2013-04-15,1218.99
2013-04-16,1208.9
2013-04-17,1214.19
2013-04-18,1195.78
2013-04-19,1203.15
2013-04-22,1198.76
2013-04-23,1200.58
2013-04-24,1184.96
2013-04-25,1181.65
2013-04-26,1178.11
2013-04-29,1177.18
2013-04-30,1182.48
2013-05-02,1188.87
2013-05-03,1176.65
2013-05-06,1175.61
2013-05-07,1165.75
2013-05-08,1163.15
2013-05-09,1163.07
2013-05-10,1145.96
2013-05-13,1149.98
2013-05-14,1164.13
2013-05-15,1148.39
2013-05-16,1153.21
2013-05-20,1146.64
2013-05-21,1157.21
