,AUD
2012-12-06,1131.59
2012-12-07,1133.97
2012-12-10,1135.59
2012-12-11,1131.59
2012-12-12,1134.83
2012-12-13,1134.59
2012-12-14,1128.76
2012-12-17,1133.98
2012-12-18,1131.32
2012-12-20,1122.17
2012-12-21,1124.82
2012-12-24,1118.58
2012-12-26,1114.41
2012-12-27,1113.75
2012-12-28,1112.24
2012-12-31,1111.43
2013-01-02,1112.5
2013-01-03,1118.04
2013-01-04,1113.21
2013-01-07,1116.93
2013-01-08,1117.9
2013-01-09,1116.94
2013-01-10,1116.11
2013-01-11,1123.97
2013-01-14,1112.34
2013-01-15,1115.19
2013-01-16,1114.66
2013-01-17,1118.78
2013-01-18,1115.92
2013-01-21,1109.17
2013-01-22,1114.48
2013-01-23,1124.43
2013-01-24,1122.29
2013-01-25,1116.69
2013-01-29,1127.48
2013-01-30,1139.08
2013-01-31,1128.12
2013-02-01,1135.56
2013-02-04,1138.8
2013-02-05,1136.53
2013-02-06,1128.7
2013-02-07,1122.93
2013-02-08,1120.24
2013-02-12,1121.86
2013-02-13,1128.39
2013-02-14,1125.56
2013-02-15,1124.18
2013-02-18,1109.59
2013-02-19,1115.89
2013-02-20,1119.79
2013-02-21,1105.77
2013-02-22,1115.54
2013-02-25,1118.5
2013-02-26,1116.38
2013-02-27,1113.4
2013-02-28,1109.98
2013-03-04,1103.48
2013-03-05,1112.85
2013-03-06,1115.43
2013-03-07,1108.36
2013-03-08,1115.73
2013-03-11,1113.09
2013-03-12,1129.55
2013-03-13,1129.55
2013-03-14,1130.04
2013-03-15,1146.82
2013-03-18,1150.47
2013-03-19,1158.61
2013-03-20,1151.11
2013-03-21,1159.02
2013-03-22,1164.59
2013-03-25,1168.26
2013-03-26,1164.29
2013-03-27,1160.91
2013-03-28,1158.56
2013-03-29,1158.09
2013-04-01,1158.28
2013-04-02,1164.19
2013-04-03,1163.15
2013-04-04,1171.42
2013-04-05,1172.4
2013-04-08,1168.07
2013-04-09,1185.48
2013-04-10,1195.1
2013-04-11,1200.39
2013-04-12,1190.7
2013-04-15,1189.01
2013-04-16,1162.6
2013-04-17,1163.66
2013-04-18,1149.15
2013-04-19,1155.27
2013-04-22,1150.1
2013-04-23,1151.76
2013-04-24,1149.94
2013-04-25,1149.7
2013-04-26,1146.59
2013-04-29,1140.65
2013-04-30,1146.94
2013-05-02,1133.01
2013-05-03,1128.13
2013-05-06,1132.95
2013-05-07,1121.51
2013-05-08,1114.18
2013-05-09,1108.53
2013-05-10,1097.27
2013-05-13,1102.77
2013-05-14,1109.81
2013-05-15,1098.92
2013-05-16,1100.96
2013-05-20,1085.5
2013-05-21,1097.02
2013-05-22,1091.31
2013-05-23,1075.52
2013-05-24,1091.51
2013-05-27,1087.05
2013-05-28,1083.98
2013-05-29,1077.5
2013-05-30,1088.53
2013-05-31,1091.18
2013-06-03,1082.38
2013-06-04,1100.29
2013-06-05,1082.71
2013-06-07,1069.84
2013-06-10,1047.44
2013-06-11,1060.96
2013-06-12,1071.74
2013-06-13,1071.53
2013-06-14,1092.53
2013-06-17,1080.31
2013-06-18,1075.89
2013-06-19,1071.43
2013-06-20,1050.69
2013-06-21,1054.12
2013-06-24,1068.41
2013-06-25,1072.0
2013-06-26,1073.27
2013-06-27,1071.34
2013-06-28,1065.25
2013-07-01,1045.89
2013-07-02,1050.55
2013-07-03,1035.64
2013-07-04,1037.2
2013-07-05,1041.74
2013-07-08,1034.04
2013-07-09,1051.57
2013-07-10,1048.95
2013-07-11,1054.47
2013-07-12,1031.42
2013-07-15,1017.93
2013-07-16,1020.56
2013-07-17,1033.79
2013-07-18,1031.78
2013-07-19,1030.89
2013-07-22,1032.89
2013-07-23,1035.28
2013-07-24,1036.89
2013-07-25,1019.51
2013-07-26,1032.5
2013-07-29,1031.16
2013-07-30,1019.48
2013-07-31,1010.26
2013-08-01,1001.65
2013-08-02,1002.2
2013-08-05,1002.62
2013-08-06,995.24
2013-08-07,1001.33
2013-08-08,1005.12
2013-08-09,1012.82
2013-08-12,1022.41
2013-08-13,1015.39
2013-08-14,1015.57
2013-08-16,1022.1
2013-08-19,1023.85
2013-08-20,1016.81
2013-08-21,1017.06
2013-08-22,1004.0
2013-08-23,1015.52
2013-08-26,1009.62
2013-08-27,1003.7
2013-08-28,1002.1
2013-08-29,999.32
2013-08-30,990.15
2013-09-02,990.82
2013-09-03,993.19
2013-09-04,992.89
2013-09-05,1007.69
2013-09-06,998.26
2013-09-09,1007.71
