,IDR(100)
2013-03-19,11.48
2013-03-20,11.43
2013-03-21,11.49
2013-03-22,11.47
2013-03-25,11.47
2013-03-26,11.43
2013-03-27,11.38
2013-03-28,11.41
2013-03-29,11.44
2013-04-01,11.45
2013-04-02,11.46
2013-04-03,11.43
2013-04-04,11.5
2013-04-05,11.53
2013-04-08,11.56
2013-04-09,11.68
2013-04-10,11.72
2013-04-11,11.75
2013-04-12,11.64
2013-04-15,11.65
2013-04-16,11.58
2013-04-17,11.52
2013-04-18,11.49
2013-04-19,11.55
2013-04-22,11.52
2013-04-23,11.54
2013-04-24,11.52
2013-04-25,11.52
2013-04-26,11.46
2013-04-29,11.41
2013-04-30,11.4
2013-05-02,11.34
2013-05-03,11.29
2013-05-06,11.3
2013-05-07,11.24
2013-05-08,11.24
2013-05-09,11.18
2013-05-10,11.17
2013-05-13,11.33
2013-05-14,11.45
2013-05-15,11.39
2013-05-16,11.42
2013-05-20,11.42
2013-05-21,11.46
2013-05-22,11.4
2013-05-23,11.39
2013-05-24,11.5
2013-05-27,11.54
2013-05-28,11.49
2013-05-29,11.49
2013-05-30,11.54
2013-05-31,11.51
2013-06-03,11.5
2013-06-04,11.51
2013-06-05,11.45
2013-06-07,11.43
2013-06-10,11.34
2013-06-11,11.45
2013-06-12,11.54
2013-06-13,11.47
2013-06-14,11.48
2013-06-17,11.43
2013-06-18,11.41
2013-06-19,11.41
2013-06-20,11.44
2013-06-21,11.53
2013-06-24,11.64
2013-06-25,11.65
2013-06-26,11.68
2013-06-27,11.62
2013-06-28,11.58
2013-07-01,11.54
2013-07-02,11.45
2013-07-03,11.41
2013-07-04,11.47
2013-07-05,11.47
2013-07-08,11.48
2013-07-09,11.57
2013-07-10,11.5
2013-07-11,11.43
2013-07-12,11.28
2013-07-15,11.23
2013-07-16,11.21
2013-07-17,11.15
2013-07-18,11.13
2013-07-19,11.16
2013-07-22,11.15
2013-07-23,11.11
2013-07-24,10.95
2013-07-25,10.86
2013-07-26,10.88
2013-07-29,10.83
2013-07-30,10.8
2013-07-31,10.84
2013-08-01,10.89
2013-08-02,10.91
2013-08-05,10.94
2013-08-06,10.85
