,KWD
2013-11-01,3756.51
2013-11-04,3766.08
2013-11-05,3764.31
2013-11-06,3750.66
2013-11-07,3755.3
2013-11-08,3746.07
2013-11-11,3755.96
2013-11-12,3762.32
2013-11-13,3777.43
2013-11-14,3784.48
2013-11-15,3764.73
2013-11-18,3767.79
2013-11-19,3741.45
2013-11-20,3724.16
2013-11-21,3725.93
2013-11-22,3750.71
2013-11-25,3753.76
2013-11-26,3747.84
2013-11-27,3750.88
2013-11-28,3751.15
2013-11-29,3757.52
2013-12-02,3743.68
2013-12-03,3737.46
2013-12-04,3752.3
2013-12-05,3747.84
2013-12-06,3754.56
2013-12-09,3742.53
2013-12-10,3728.18
2013-12-11,3728.04
2013-12-12,3723.54
2013-12-13,3729.07
2013-12-16,3727.79
2013-12-17,3728.66
2013-12-18,3724.76
2013-12-19,3726.89
2013-12-20,3740.85
2013-12-23,3758.67
2013-12-24,3755.09
2013-12-26,3751.64
2013-12-27,3749.42
2013-12-30,3740.08
2013-12-31,3742.07
2014-01-02,3736.9
2014-01-03,3719.55
2014-01-06,3732.65
2014-01-07,3761.33
2014-01-08,3781.52
2014-01-09,3774.79
2014-01-10,3763.21
2014-01-13,3763.46
2014-01-14,3741.15
2014-01-15,3744.83
2014-01-16,3754.68
2014-01-17,3766.41
2014-01-20,3733.29
2014-01-21,3758.04
2014-01-22,3759.1
2014-01-23,3776.07
2014-01-24,3795.28
2014-01-27,3813.77
2014-01-28,3839.42
2014-01-29,3819.91
2014-02-03,3785.88
2014-02-04,3825.11
2014-02-05,3839.57
2014-02-06,3818.27
2014-02-07,3806.22
2014-02-10,3802.7
2014-02-11,3795.81
2014-02-12,3795.36
2014-02-13,3771.12
2014-02-14,3772.7
2014-02-17,3768.28
2014-02-18,3762.37
2014-02-19,3776.89
2014-02-20,3787.67
2014-02-21,3803.63
2014-02-24,3809.64
2014-02-25,3819.92
2014-02-26,3801.31
2014-02-27,3795.99
2014-02-28,3790.74
2014-03-03,3789.18
2014-03-04,3807.27
2014-03-05,3806.82
2014-03-06,3801.85
2014-03-07,3790.48
2014-03-10,3773.44
2014-03-11,3789.33
2014-03-12,3785.15
2014-03-13,3796.88
2014-03-14,3790.48
2014-03-17,3816.03
2014-03-18,3799.36
2014-03-19,3792.26
2014-03-20,3807.88
2014-03-21,3819.22
2014-03-24,3836.29
2014-03-25,3832.12
2014-03-26,3828.84
2014-03-27,3817.47
2014-03-28,3809.66
2014-03-31,3792.63
2014-04-01,3785.33
2014-04-02,3765.31
2014-04-03,3751.29
2014-04-04,3751.86
2014-04-07,3744.11
2014-04-08,3740.24
2014-04-09,3744.67
2014-04-10,3708.23
2014-04-11,3687.75
2014-04-14,3684.3
2014-04-15,3689.28
2014-04-16,3697.44
2014-04-17,3702.53
2014-04-18,3682.88
2014-04-21,3687.3
2014-04-22,3685.07
2014-04-23,3695.44
2014-04-24,3695.08
2014-04-25,3692.78
2014-04-28,3695.18
2014-04-29,3688.52
2014-04-30,3666.31
2014-05-02,3674.62
2014-05-07,3673.67
2014-05-08,3653.46
2014-05-09,3641.7
2014-05-12,3637.33
2014-05-13,3642.5
2014-05-14,3630.78
2014-05-15,3635.91
2014-05-16,3649.78
2014-05-19,3640.95
2014-05-20,3627.24
2014-05-21,3633.75
2014-05-22,3643.88
2014-05-23,3637.65
2014-05-26,3641.96
2014-05-27,3630.85
2014-05-28,3628.82
2014-05-29,3635.91
2014-05-30,3621.54
2014-06-02,3628.09
2014-06-03,3639.47
2014-06-05,3629.7
2014-06-09,3625.6
2014-06-10,3606.39
2014-06-11,3601.03
2014-06-12,3601.67
2014-06-13,3608.16
2014-06-16,3609.29
2014-06-17,3613.97
2014-06-18,3622.67
2014-06-19,3629.17
2014-06-20,3611.63
2014-06-23,3614.06
2014-06-24,3611.35
2014-06-25,3609.29
2014-06-26,3619.79
2014-06-27,3607.28
